Key,Fcm Notification Type,Fcm Sub Category,Trip Category,Should Trigger,Body,Title,Dutch_Body,Dutch_Title,Body (German),Title (German),Body (French),Title (French),Finnish Body (Suomi),Finnish Title (Suomi),Swedish Body (Svenska),Swedish Title (Svenska)
BOOKING_CANCEL_WITH_RIDE,CANCELLED_PRODUCT,ByMerchant,,,"""{#orgName#}"" agency had to cancel the ride for {#bookingStartTime#}. Please book again to get another ride.",Ride cancelled!,"Agentschap ""{#orgName#}"" moest de rit voor {#bookingStartTime#} annuleren. Boek alstublieft opnieuw voor een andere rit.",Rit geannuleerd!,"Die Agentur ""{#orgName#}"" musste die Fahrt für {#bookingStartTime#} stornieren. Bitte buchen Sie erneut, um eine andere Fahrt zu erhalten.",Fahrt storniert!,"L'agence ""{#orgName#}"" a dû annuler la course pour {#bookingStartTime#}. Veuillez réserver à nouveau pour un autre trajet.",Course annulée !,{#orgName#} joutui perumaan kyydin ajalle {#bookingStartTime#}. Tilaa uusi kyyti.,Kyyti peruttu!,{#orgName#} var tvungna att avboka resan för {#bookingStartTime#}. Boka igen för att få en ny resa.,Resa avbokad!
BOOKING_CANCEL_WITH_RIDE,CANCELLED_PRODUCT,ByDriver,,,The driver had to cancel the ride for {#bookingStartTime#}. Please book again to get another ride.,Ride cancelled!,De chauffeur moest de rit annuleren. Boek alstublieft opnieuw.,Rit geannuleerd!,Der Fahrer musste die Fahrt stornieren. Bitte buche erneut.,Fahrt storniert!,Le chauffeur a dû annuler la course. Veuillez réserver à nouveau.,Course annulée !,Kuljettaja joutui perumaan kyydin ajalle {#bookingStartTime#}. Tilaa uusi kyyti.,Kyyti peruttu!,Föraren var tvungen att avboka resan för {#bookingStartTime#}. Boka igen för att få en ny resa.,Resa avbokad!
BOOKING_CANCEL_WITH_RIDE,CANCELLED_PRODUCT,ByAllocator,,,The ride for {#bookingStartTime#} was cancelled as we could not find a driver. Please book again to get another ride.,Ride cancelled!,"De rit is geannuleerd, we konden geen chauffeur vinden. Boek alstublieft opnieuw.",Rit geannuleerd!,"Fahrt storniert, kein Fahrer gefunden. Bitte buche erneut.",Fahrt storniert!,"Course annulée, aucun chauffeur trouvé. Veuillez réserver à nouveau.",Course annulée !,"Kyyti ajalle {#bookingStartTime#} peruttiin, koska kuljettajaa ei löytynyt. Tilaa uusi kyyti.",Kyyti peruttu!,Resan för {#bookingStartTime#} avbokades då vi inte hittade någon förare. Boka igen för att få en ny resa.,Resa avbokad!
BOOKING_CANCEL_WITH_RIDE,CANCELLED_PRODUCT,ByApplication,,,Sorry your ride for {#bookingStartTime#} was cancelled. Please try to book again.,Ride cancelled!,"Sorry, je rit voor {#bookingStartTime#} is geannuleerd. Probeer opnieuw te boeken.",Rit geannuleerd!,"Entschuldigung, deine Fahrt für {#bookingStartTime#} wurde storniert. Bitte versuche es erneut.",Fahrt storniert!,"Désolé, votre course de {#bookingStartTime#} a été annulée. Veuillez réessayer.",Course annulée !,"Pahoittelut, kyytisi ajalle {#bookingStartTime#} on peruttu. Tilaa uusi kyyti.",Kyyti peruttu!,Tyvärr avbokades din resa för {#bookingStartTime#}. Försök boka igen.,Resa avbokad!
BOOKING_CANCEL_WITH_NO_RIDE,CANCELLED_PRODUCT,ByUser,,,You have cancelled your ride for {#bookingStartTime#}. Check the app for details.,Ride cancelled!,Je hebt je rit voor {#bookingStartTime#} geannuleerd. Bekijk de app.,Rit geannuleerd!,Du hast deine Fahrt für {#bookingStartTime#} storniert. Details in der App.,Fahrt storniert!,Vous avez annulé votre course pour {#bookingStartTime#}. Consultez l'app.,Course annulée !,Olet perunut kyydin ajalle {#bookingStartTime#}. Katso tiedot sovelluksesta.,Kyyti peruttu!,Du har avbokat din resa för {#bookingStartTime#}. Se appen för detaljer.,Resa avbokad!
BOOKING_CANCEL_WITH_NO_RIDE,CANCELLED_PRODUCT,ByMerchant,,,"""{#orgName#}"" agency had to cancel the ride for {#bookingStartTime#}. Please book again to get another ride.",Ride Unavailable!,"Agentschap ""{#orgName#}"" moest de rit voor {#bookingStartTime#} annuleren. Boek alstublieft opnieuw voor een andere rit.",Rit niet beschikbaar!,"Die Agentur ""{#orgName#}"" musste die Fahrt für {#bookingStartTime#} stornieren. Bitte buchen Sie erneut, um eine andere Fahrt zu erhalten.",Fahrt nicht verfügbar!,"L'agence ""{#orgName#}"" a dû annuler la course pour {#bookingStartTime#}. Veuillez réserver à nouveau pour un autre trajet.",Course indisponible !,{#orgName#} joutui perumaan kyydin ajalle {#bookingStartTime#}. Tilaa uusi kyyti.,Kyyti ei saatavilla!,{#orgName#} var tvungna att avboka resan för {#bookingStartTime#}. Boka igen för att få en ny resa.,Resa ej tillgänglig!
BOOKING_CANCEL_WITH_NO_RIDE,CANCELLED_PRODUCT,ByDriver,,,"Sorry, we could not find any driver for your ride at {#bookingStartTime#}. Please try to book again.",Ride Unavailable!,"Sorry, we konden geen chauffeur vinden voor uw rit om {#bookingStartTime#}. Probeer opnieuw.",Rit niet beschikbaar!,Leider konnten wir keinen Fahrer für Ihre Fahrt um {#bookingStartTime#} finden. Bitte versuchen Sie es erneut.,Fahrt nicht verfügbar!,"Désolé, nous n'avons trouvé aucun chauffeur pour {#bookingStartTime#}. Veuillez réessayer.",Course indisponible !,"Pahoittelut, emme löytäneet kuljettajaa ajalle {#bookingStartTime#}. Tilaa uusi kyyti.",Kyyti ei saatavilla!,Tyvärr kunde vi inte hitta någon förare för din resa {#bookingStartTime#}. Försök boka igen.,Resa ej tillgänglig!
BOOKING_CANCEL_WITH_NO_RIDE,CANCELLED_PRODUCT,ByAllocator,,,The ride for {#bookingStartTime#} was cancelled as we could not find a driver. Please book again to get another ride.,Ride Unavailable!,"De rit is geannuleerd, we konden geen chauffeur vinden. Boek alstublieft opnieuw.",Rit niet beschikbaar!,"Fahrt storniert, kein Fahrer gefunden. Bitte buche erneut.",Fahrt nicht verfügbar!,"Course annulée, aucun chauffeur trouvé. Veuillez réserver à nouveau.",Course indisponible !,"Kyyti ajalle {#bookingStartTime#} peruttiin, koska kuljettajaa ei löytynyt. Tilaa uusi kyyti.",Kyyti ei saatavilla!,Resan för {#bookingStartTime#} avbokades då vi inte hittade någon förare. Boka igen för att få en ny resa.,Resa ej tillgänglig!
BOOKING_CANCEL_WITH_NO_RIDE,CANCELLED_PRODUCT,ByApplication,,,"Sorry, we could not find any driver for your ride at {#bookingStartTime#}. Please try to book again.",Ride Unavailable!,"Sorry, we konden geen chauffeur vinden voor uw rit om {#bookingStartTime#}. Probeer opnieuw.",Rit niet beschikbaar!,Leider konnten wir keinen Fahrer für Ihre Fahrt um {#bookingStartTime#} finden. Bitte versuchen Sie es erneut.,Fahrt nicht verfügbar!,"Désolé, nous n'avons trouvé aucun chauffeur pour {#bookingStartTime#}. Veuillez réessayer.",Course indisponible !,"Pahoittelut, emme löytäneet kuljettajaa ajalle {#bookingStartTime#}. Tilaa uusi kyyti.",Kyyti ei saatavilla!,Tyvärr kunde vi inte hitta någon förare för din resa {#bookingStartTime#}. Försök boka igen.,Resa ej tillgänglig!
BOOKING_REALLOCATED,REALLOCATE_PRODUCT,,,,The driver had to cancel the ride for {#bookingStartTime#}. Please wait until we allocate another driver.,Ride cancelled! We are allocating another driver,De chauffeur heeft de rit geannuleerd. We wijzen een andere chauffeur toe.,Rit geannuleerd! We zoeken een nieuwe chauffeur.,Der Fahrer hat die Fahrt storniert. Wir weisen einen neuen Fahrer zu.,Fahrt storniert! Wir weisen einen neuen Fahrer zu.,Le chauffeur a annulé la course. Nous vous assignons un autre chauffeur.,Course annulée ! Nous vous cherchons un nouveau chauffeur.,"Kuljettaja joutui perumaan kyydin ajalle {#bookingStartTime#}. Odota, etsimme uutta kuljettajaa.",Kyyti peruttu! Etsitään uutta kuljettajaa,Föraren var tvungen att avboka resan för {#bookingStartTime#}. Vänta medan vi hittar en ny förare.,Resa avbokad! Vi söker en ny förare
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByUser,,,You have cancelled your ride for {#bookingStartTime#}. Please wait while we allocate you another driver.,Searching for a New Driver!,Je hebt je rit geannuleerd. We zoeken een nieuwe chauffeur voor je.,Nieuwe chauffeur gezocht!,Du hast deine Fahrt storniert. Wir suchen einen neuen Fahrer für dich.,Suchen neuen Fahrer!,Vous avez annulé votre course. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Olet perunut kyydin ajalle {#bookingStartTime#}. Odota, etsimme sinulle uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Du har avbokat din resa för {#bookingStartTime#}. Vänta medan vi hittar en ny förare åt dig.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByDriver,,,The driver had cancelled the ride for {#bookingStartTime#}. Please wait while we allocate you another driver.,Searching for a New Driver!,De chauffeur heeft de rit geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Der Fahrer hat die Fahrt storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,Le chauffeur a annulé la course. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Kuljettaja on perunut kyydin ajalle {#bookingStartTime#}. Odota, etsimme sinulle uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Föraren har avbokat resan för {#bookingStartTime#}. Vänta medan vi hittar en ny förare åt dig.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByAllocator,,,"The ride for {#bookingStartTime#}, is cancelled. Please wait while we allocate you another driver.",Searching for a New Driver!,De rit van {#bookingStartTime#} is geannuleerd. We zoeken een nieuwe chauffeur.,Nieuwe chauffeur gezocht!,Die Fahrt um {#bookingStartTime#} wurde storniert. Wir suchen einen neuen Fahrer.,Suchen neuen Fahrer!,La course de {#bookingStartTime#} est annulée. Nous cherchons un nouveau chauffeur.,Recherche d'un nouveau chauffeur !,"Kyyti ajalle {#bookingStartTime#} on peruttu. Odota, etsimme sinulle uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Resan för {#bookingStartTime#} har avbokats. Vänta medan vi hittar en ny förare åt dig.,Söker efter en ny förare!
EST_OR_QUOTE_REALLOCATED,REALLOCATE_PRODUCT,ByApplication,,,Sorry your ride for  {#bookingStartTime#} was cancelled. Please wait while we allocate you another driver.,Searching for a New Driver!,"Sorry, uw rit van {#bookingStartTime#} is geannuleerd. We zoeken een nieuwe chauffeur voor u.",Nieuwe chauffeur gezocht!,"Entschuldigung, Ihre Fahrt für {#bookingStartTime#} wurde storniert. Wir suchen einen neuen Fahrer für Sie.",Suchen neuen Fahrer!,"Désolé, votre course de {#bookingStartTime#} a été annulée. Nous vous cherchons un nouveau chauffeur.",Recherche d'un nouveau chauffeur !,"Pahoittelut, kyytisi ajalle {#bookingStartTime#} on peruttu. Odota, etsimme sinulle uutta kuljettajaa.",Etsitään uutta kuljettajaa!,Tyvärr avbokades din resa för {#bookingStartTime#}. Vänta medan vi hittar en ny förare åt dig.,Söker efter en ny förare!
QUOTE_RECEIVED,QUOTE_RECEIVED,,,,New quote received with price {#quoteFareEstimate#},Quote received!,Nieuwe offerte ontvangen: {#quoteFareEstimate#},Offerte ontvangen!,Neues Angebot erhalten: {#quoteFareEstimate#},Angebot erhalten!,Nouveau devis reçu : {#quoteFareEstimate#},Devis reçu !,Uusi hintatarjous saatu: {#quoteFareEstimate#},Tarjous saatu!,Ny prisuppgift mottagen: {#quoteFareEstimate#},Prisuppgift mottagen!
DRIVER_ON_THE_WAY,DRIVER_ON_THE_WAY,,,,Driver is on the way,Driver On The Way!,Chauffeur is onderweg,Chauffeur Onderweg!,Fahrer ist unterwegs,Fahrer unterwegs!,Chauffeur en route,Chauffeur en route !,Kuljettaja on matkalla,Kuljettaja on matkalla!,Föraren är på väg,Föraren är på väg!
DRIVER_HAS_REACHED,DRIVER_HAS_REACHED,,,,Use OTP {#otp#} to verify the ride with Vehicle No. {#vehicleNumber#},Driver Has Reached!,Gebruik OTP {#otp#} om de rit te verifiëren met Voertuig Nr. {#vehicleNumber#}.,Chauffeur is Aangekomen!,"Nutze OTP {#otp#}, um die Fahrt mit Fahrzeug-Nr. {#vehicleNumber#} zu bestätigen.",Fahrer ist da!,Utilisez l'OTP {#otp#} pour vérifier la course avec le Véhicule n° {#vehicleNumber#}.,Chauffeur Arrivé !,Vahvista kyyti ajoneuvolle {#vehicleNumber#} koodilla {#otp#},Kuljettaja on saapunut!,Använd kod {#otp#} för att verifiera resan med fordon {#vehicleNumber#},Föraren har kommit fram!
DRIVER_REACHING,DRIVER_REACHING,,,,Your driver is arriving now! Please be at the pickup location,Driver Arriving Now!,Je chauffeur komt nu aan! Wees op de ophaallocatie.,Chauffeur Komt Nu Aan!,Dein Fahrer kommt jetzt an! Bitte sei am Abholort.,Fahrer kommt jetzt an!,Votre chauffeur arrive ! Soyez au lieu de prise en charge.,Chauffeur Arrive !,Kuljettajasi saapuu nyt! Olethan valmiina noutopaikalla.,Kuljettaja saapuu!,Din förare anländer nu! Vänligen var på upphämtningsplatsen.,Föraren anländer nu!
SAFETY_ALERT_DEVIATION,SAFETY_ALERT_DEVIATION,,,,We noticed your ride is on a different route. Are you feeling safe on your trip?,Everything okay?,We zien dat uw rit een andere route volgt. Voelt u zich veilig?,Alles in orde?,"Wir bemerken, dass deine Fahrt von der Route abweicht. Fühlst du dich sicher?",Alles okay?,Nous voyons que votre trajet dévie. Vous sentez-vous en sécurité ?,Tout va bien ?,"Huomasimme, että matkasi reitti on muuttunut. Oletko turvassa?",Onko kaikki hyvin?,Vi märkte att din resa tar en annan rutt. Känner du dig trygg?,Är allt okej?
DRIVER_BIRTHDAY,DRIVER_BIRTHDAY,,,,"Today is your driver {#driverName#}'s birthday, your warm wishes will make their day even more special!",Driver's Birthday!,"Uw chauffeur {#driverName#} is vandaag jarig, uw wensen maken hun dag speciaal!",Verjaardag Chauffeur!,"Ihr Fahrer {#driverName#} hat heute Geburtstag, Ihre Wünsche machen den Tag besonders!",Geburtstag des Fahrers!,"C'est l'anniversaire de votre chauffeur {#driverName#}, vos vœux rendront sa journée spéciale !",Anniversaire du Chauffeur !,Tänään on kuljettajasi {#driverName#} syntymäpäivä. Onnittelut ilahduttaisivat häntä varmasti!,Kuljettajan syntymäpäivä!,Idag fyller din förare {#driverName#} år. En gratulation skulle göra deras dag!,Förarens födelsedag!
FOLLOW_RIDE,FOLLOW_RIDE,,,,{#name#} wants you to follow their ride,Follow Ride,{#name#} wil dat je hun rit volgt,Volg Rit,"{#name#} möchte, dass du die Fahrt verfolgst",Fahrt verfolgen,{#name#} souhaite que vous suiviez son trajet,Suivre Trajet,{#name#} haluaa sinun seuraavan matkaansa,Seuraa matkaa,{#name#} vill att du följer deras resa,Följ resan
STOP_REACHED,STOP_REACHED,,,,{#driverName#} has reached the stop. You may add another stop!,Stop Reached!,{#driverName#} heeft de halte bereikt. Voeg een nieuwe halte toe!,Halte Bereikt!,{#driverName#} hat den Halt erreicht. Du kannst einen weiteren Halt hinzufügen!,Halt erreicht!,{#driverName#} a atteint l'arrêt. Vous pouvez en ajouter un autre !,Arrêt Atteint !,{#driverName#} on saapunut pysähdyspaikalle. Voit lisätä uuden pysähdyksen!,Pysähdyspaikka saavutettu!,{#driverName#} har nått stoppet. Du kan lägga till ett nytt stopp!,Stopp nått!
TICKET_CANCELLED,CANCELLED_PRODUCT,,,,"Sorry, Ticket Booking {#ticketBookingId#} having {#ticketBookingCategoryName#} Service is cancelled will be Refunded. Check the app for details.",{#ticketBookingCategoryName#} Ticket Service is Cancelled,"Sorry, Ticket {#ticketBookingId#} ({#ticketBookingCategoryName#}) is geannuleerd en wordt terugbetaald. Check de app.",{#ticketBookingCategoryName#} Ticket Geannuleerd,"Ticket {#ticketBookingId#} ({#ticketBookingCategoryName#}) storniert, Erstattung folgt. Details in der App.",{#ticketBookingCategoryName#} Ticket Storniert,"Désolé, le Ticket {#ticketBookingId#} ({#ticketBookingCategoryName#}) est annulé et sera remboursé. Voir l'app.",Ticket {#ticketBookingCategoryName#} Annulé,"Pahoittelut, lippuvaraus {#ticketBookingId#} ({#ticketBookingCategoryName#}) on peruttu ja hyvitetään. Katso tiedot sovelluksesta.",{#ticketBookingCategoryName#} -palvelu peruttu,Tyvärr har biljettbokning {#ticketBookingId#} ({#ticketBookingCategoryName#}) avbokats och återbetalas. Se appen för detaljer.,{#ticketBookingCategoryName#}-tjänst avbokad
TRIP_UPDATED,TRIP_UPDATED,,,,Your edit request was accepted by your driver!,Destination and Fare Updated,Je wijzigingsverzoek is geaccepteerd door je chauffeur!,Bestemming & Prijs Bijgewerkt,Deine Änderungsanfrage wurde vom Fahrer akzeptiert!,Ziel & Fahrpreis Aktualisiert,Votre demande de modification a été acceptée !,Destination & Tarif Mis à Jour,Kuljettaja hyväksyi muutospyyntösi!,Määränpää ja hinta päivitetty,Din ändringsbegäran godkändes av föraren!,Destination och pris uppdaterat
DRIVER_QUOTE_INCOMING,DRIVER_QUOTE_INCOMING,,Delivery_OneWayOnDemandDynamicOffer,,There are new driver offers for delivering your parcel. Check the app for details.,New delivery offers available!,Nieuwe aanbiedingen voor het bezorgen van je pakket. Check de app.,Nieuwe bezorgaanbiedingen!,Neue Angebote für deine Paketzustellung. Details in der App.,Neue Lieferangebote!,Nouvelles offres pour livrer votre colis. Voir l'app.,Nouvelles offres de livraison !,Uusia tarjouksia pakettisi kuljetukselle. Katso tiedot sovelluksesta.,Uusia kuljetustarjouksia!,Det finns nya förarerbjudanden för din paketleverans. Se appen för detaljer.,Nya leveranserbjudanden!
DRIVER_ASSIGNMENT,DRIVER_ASSIGNMENT,,Delivery_OneWayOnDemandDynamicOffer,,{#driverName#} will be handling the delivery of your parcel.,Driver assigned to your parcel!,{#driverName#} verzorgt de bezorging van je pakket.,Chauffeur voor je pakket!,{#driverName#} wird dein Paket zustellen.,Fahrer für dein Paket!,{#driverName#} s'occupera de la livraison de votre colis.,Chauffeur pour votre colis !,{#driverName#} hoitaa pakettisi kuljetuksen.,Kuljettaja nimetty!,{#driverName#} kommer att hantera leveransen av ditt paket.,Förare tilldelad ditt paket!
TRIP_STARTED,TRIP_STARTED,,Delivery_OneWayOnDemandDynamicOffer,,Your parcel with {#driverName#} is now en route. Track it live in the app!,Your parcel is on the move!,Je pakket met {#driverName#} is onderweg. Volg het live in de app!,Je pakket is onderweg!,Dein Paket mit {#driverName#} ist unterwegs. Verfolge es live in der App!,Dein Paket ist unterwegs!,Votre colis avec {#driverName#} est en route. Suivez-le en direct dans l'app !,Votre colis est en route !,Pakettisi on matkalla kuljettajan {#driverName#} kyydissä. Seuraa lähetystä sovelluksessa!,Pakettisi on liikkeellä!,Ditt paket med {#driverName#} är nu på väg. Spåra det live i appen!,Ditt paket är på väg!
TRIP_FINISHED,TRIP_FINISHED,,Delivery_OneWayOnDemandDynamicOffer,,Your parcel has been delivered successfully by {#driverName#}. Total Fare {#totalFare#},Parcel delivered!,Je pakket is bezorgd door {#driverName#}. Totaalbedrag {#totalFare#},Pakket bezorgd!,Dein Paket wurde von {#driverName#} zugestellt. Gesamtpreis {#totalFare#},Paket zugestellt!,Votre colis a été livré par {#driverName#}. Prix total {#totalFare#},Colis livré !,Kuljettaja {#driverName#} on toimittanut pakettisi onnistuneesti. Hinta yhteensä {#totalFare#},Paketti toimitettu!,Ditt paket har levererats av {#driverName#}. Totalt pris {#totalFare#},Paket levererat!
EXPIRED_CASE,EXPIRED_CASE,,Delivery_OneWayOnDemandDynamicOffer,,Your delivery request expired as no offers were confirmed. Please book again to continue.,Delivery request expired!,"Je bezorgverzoek is verlopen, geen aanbod bevestigd. Boek opnieuw.",Bezorgverzoek verlopen!,"Deine Lieferanfrage ist abgelaufen, da kein Angebot bestätigt wurde. Buche erneut.",Lieferanfrage abgelaufen!,"Votre demande de livraison a expiré, aucune offre confirmée. Réservez à nouveau.",Demande de livraison expirée !,"Kuljetuspyyntö vanheni, koska tarjouksia ei hyväksytty. Tilaa uudelleen jatkaaksesi.",Kuljetuspyyntö vanhentui!,Din leveransförfrågan löpte ut då inga erbjudanden bekräftades. Boka igen för att fortsätta.,Leveransförfrågan utlöpt!
BOOKING_CANCEL_WITH_RIDE,CANCELLED_PRODUCT,ByUser,Delivery_OneWayOnDemandDynamicOffer,,You cancelled the parcel delivery scheduled for {#bookingStartTime#}. Check the app for details.,Parcel delivery cancelled!,Je hebt de pakketbezorging voor {#bookingStartTime#} geannuleerd. Check de app.,Pakketbezorging geannuleerd!,Du hast die Paketzustellung für {#bookingStartTime#} storniert. Details in der App.,Paketzustellung storniert!,Vous avez annulé la livraison pour {#bookingStartTime#}. Voir l'app.,Livraison de colis annulée !,Olet perunut pakettikuljetuksen ajalle {#bookingStartTime#}. Katso tiedot sovelluksesta.,Pakettikuljetus peruttu,Du avbokade paketleveransen för {#bookingStartTime#}. Se appen för detaljer.,Paketleverans avbokad
